drug_id,disease_id,label
DB01097,MESH:D001171,1
DB00746,MESH:D009181,0
DB01203,MESH:D000787,1
DB00819,MESH:D003555,1
DB13152,MESH:D008108,0
DB00773,MESH:D015266,1
DB01045,MESH:D002114,0
DB00193,MESH:D000072,0
DB11760,MESH:D011507,0
DB00530,MESH:D004672,0
DB00285,MESH:D000072,1
DB00762,MESH:D010051,1
DB00994,MESH:D000740,0
DB00759,MESH:D011778,1
DB05271,MESH:D010300,1
DB11652,MESH:D008548,0
DB14033,MESH:D008585,1
DB01174,MESH:D003294,1
DB00513,MESH:D006470,1
DB00315,MESH:D008630,0
DB00264,MESH:D009203,1
DB00784,MESH:D009450,0
DB08869,MESH:D013530,0
DB09293,MESH:D019462,0
DB00959,MESH:D010392,1
DB09133,MESH:D007674,1
